sim_id,customer_id,device_type,apn,plan_id,status,city
2068,9025,Gateway,apn-video,15,active,Adana
2069,9091,Gateway,apn-video,15,active,Ankara
2070,9009,Sensor,apn-m2m,13,active,Istanbul
2071,9006,Sensor,apn-m2m,13,active,Bursa
2072,9085,Tracker,apn-m2m,11,inactive,Eskisehir
2073,9030,Camera,apn-video,15,active,Manisa
2074,9099,Gateway,apn-iot,11,active,Van
2075,9038,Gateway,apn-data,11,blocked,Sivas
2076,9011,ATM,apn-m2m,13,active,Istanbul
2077,9030,Tracker,apn-iot,12,active,Kahramanmaras
2078,9013,SmartMeter,apn-iot,12,blocked,Batman
2079,9049,ATM,apn-video,14,blocked,Diyarbakir
2080,9036,SmartMeter,apn-iot,11,active,Mersin
2081,9059,Tracker,apn-data,11,active,Diyarbakir
2082,9082,ATM,apn-video,14,active,Urfa
2083,9047,Camera,apn-video,14,active,Bursa
2084,9021,Sensor,apn-m2m,12,active,Erzurum
2085,9048,Gateway,apn-data,13,inactive,Ankara
2086,9046,SmartMeter,apn-iot,13,active,Kahramanmaras
2087,9027,Tracker,apn-data,12,active,Kahramanmaras
2088,9086,SmartMeter,apn-iot,11,inactive,Sivas
2089,9035,SmartMeter,apn-iot,12,inactive,Kayseri
2090,9090,Camera,apn-video,15,active,Manisa
2091,9088,Camera,apn-video,14,active,Gaziantep
2092,9083,Camera,apn-video,15,inactive,Sivas
2093,9010,Gateway,apn-data,11,active,Batman
2094,9078,Camera,apn-video,14,active,Van
2095,9082,ATM,apn-video,14,active,Antalya
2096,9022,SmartMeter,apn-iot,13,blocked,Mersin
2097,9069,Camera,apn-video,15,active,Istanbul
2098,9094,ATM,apn-video,15,active,Erzurum
2099,9032,POS,apn-iot,11,active,Erzurum
2100,9021,Sensor,apn-data,11,active,Kahramanmaras
2101,9060,Sensor,apn-m2m,12,active,Erzurum
2102,9049,Tracker,apn-iot,11,inactive,Malatya
2103,9035,Camera,apn-video,14,active,Malatya
2104,9082,Gateway,apn-m2m,12,active,Erzurum
2105,9089,Sensor,apn-iot,12,active,Antalya
2106,9072,ATM,apn-video,14,active,Bursa
2107,9029,SmartMeter,apn-iot,12,active,Elazığ
2108,9088,SmartMeter,apn-iot,11,active,Urfa
2109,9042,Camera,apn-video,15,active,Ankara
2110,9099,POS,apn-m2m,13,inactive,Sivas
2111,9100,Camera,apn-video,15,active,Istanbul
2112,9008,POS,apn-data,11,inactive,Eskisehir
2113,9030,Tracker,apn-m2m,12,inactive,Kayseri
2114,9005,Camera,apn-video,15,active,Malatya
2115,9041,SmartMeter,apn-iot,12,active,Izmir
2116,9052,ATM,apn-m2m,11,active,Diyarbakir
2117,9035,SmartMeter,apn-iot,13,active,Mersin
2118,9009,ATM,apn-iot,12,active,Urfa
2119,9028,Tracker,apn-m2m,11,inactive,Manisa
2120,9073,Sensor,apn-video,14,active,Mersin
2121,9092,Tracker,apn-m2m,12,blocked,Van
2122,9041,ATM,apn-data,12,active,Antalya
2123,9028,Camera,apn-video,14,active,Izmir
2124,9084,POS,apn-iot,12,active,Sivas
2125,9064,POS,apn-data,13,active,Van
2126,9051,Camera,apn-video,14,active,Elazığ
2127,9083,Camera,apn-video,15,active,Malatya
2128,9059,ATM,apn-data,12,blocked,Trabzon
2129,9019,Sensor,apn-m2m,11,active,Sivas
2130,9034,Tracker,apn-iot,13,active,Erzurum
2131,9018,POS,apn-iot,12,active,Gaziantep
2132,9032,Gateway,apn-iot,13,active,Kayseri
2133,9096,Tracker,apn-m2m,11,active,Diyarbakir
2134,9072,SmartMeter,apn-iot,11,active,Adana
2135,9069,ATM,apn-m2m,12,active,Mersin
2136,9034,SmartMeter,apn-iot,12,inactive,Antalya
2137,9096,Sensor,apn-data,11,active,Istanbul
2138,9075,Gateway,apn-data,13,inactive,Urfa
2139,9055,Camera,apn-video,15,active,Elazığ
2140,9075,Sensor,apn-data,13,active,Diyarbakir
2141,9052,SmartMeter,apn-iot,12,active,Izmir
2142,9047,Sensor,apn-m2m,12,active,Sivas
2143,9029,Camera,apn-video,14,inactive,Mersin
2144,9018,ATM,apn-iot,12,active,Van
2145,9066,POS,apn-video,14,inactive,Adana
2146,9064,SmartMeter,apn-iot,11,active,Trabzon
2147,9012,Sensor,apn-iot,13,active,Antalya
2148,9097,Camera,apn-video,15,active,Batman
2149,9007,ATM,apn-video,14,active,Istanbul
2150,9015,Sensor,apn-data,13,active,Kayseri
2151,9020,Camera,apn-video,15,blocked,Konya
2152,9081,Gateway,apn-m2m,11,active,Konya
2153,9021,SmartMeter,apn-iot,12,active,Konya
2154,9088,SmartMeter,apn-iot,11,active,Mersin
2155,9055,Camera,apn-video,15,blocked,Van
2156,9077,POS,apn-m2m,11,active,Erzurum
2157,9009,Sensor,apn-data,11,active,Adana
2158,9050,SmartMeter,apn-iot,11,active,Trabzon
2159,9049,POS,apn-m2m,12,active,Batman
2160,9077,Tracker,apn-data,11,active,Kahramanmaras
2161,9060,POS,apn-data,11,active,Kayseri
2162,9068,Sensor,apn-iot,12,active,Van
2163,9033,Sensor,apn-iot,13,active,Istanbul
2164,9071,Sensor,apn-video,15,active,Van
2165,9002,Sensor,apn-video,14,blocked,Manisa
2166,9088,ATM,apn-iot,12,inactive,Diyarbakir
2167,9093,Tracker,apn-video,14,active,Malatya
2168,9015,POS,apn-iot,12,blocked,Istanbul
2169,9088,POS,apn-video,15,inactive,Konya
2170,9069,ATM,apn-video,15,active,Kahramanmaras
2171,9097,Tracker,apn-m2m,11,active,Kahramanmaras
2172,9035,Camera,apn-video,15,active,Van
2173,9099,ATM,apn-data,11,active,Manisa
2174,9083,Gateway,apn-data,13,active,Adana
2175,9044,Camera,apn-video,15,blocked,Ankara
2176,9015,SmartMeter,apn-iot,13,active,Elazığ
2177,9038,ATM,apn-iot,12,active,Istanbul
2178,9056,ATM,apn-data,12,active,Elazığ
2179,9021,POS,apn-m2m,12,blocked,Van
2180,9059,SmartMeter,apn-iot,11,inactive,Ankara
2181,9001,Gateway,apn-iot,12,active,Kayseri
2182,9093,Tracker,apn-data,13,active,Erzurum
2183,9093,ATM,apn-m2m,11,active,Izmir
2184,9034,Tracker,apn-m2m,12,active,Elazığ
2185,9065,Tracker,apn-video,15,inactive,Diyarbakir
2186,9098,Sensor,apn-video,14,active,Antalya
2187,9023,POS,apn-video,15,active,Van
2188,9065,Gateway,apn-data,11,active,Trabzon
2189,9014,POS,apn-m2m,12,active,Kayseri
2190,9081,ATM,apn-iot,12,active,Bursa
2191,9039,POS,apn-data,11,active,Sivas
2192,9082,ATM,apn-m2m,12,active,Malatya
2193,9065,SmartMeter,apn-iot,12,inactive,Ankara
2194,9078,Sensor,apn-data,13,active,Gaziantep
2195,9026,Tracker,apn-video,14,inactive,Trabzon
2196,9020,Camera,apn-video,15,active,Adana
2197,9048,Tracker,apn-m2m,11,active,Antalya
2198,9098,Camera,apn-video,14,active,Van
2199,9021,ATM,apn-video,15,active,Van
2200,9070,Sensor,apn-m2m,12,active,Izmir
2201,9100,POS,apn-data,13,active,Kahramanmaras
2202,9068,SmartMeter,apn-iot,11,active,Eskisehir
2203,9001,Tracker,apn-iot,12,active,Sivas
2204,9077,SmartMeter,apn-iot,13,active,Urfa
2205,9042,Gateway,apn-iot,11,active,Kahramanmaras
2206,9063,Sensor,apn-data,12,active,Kayseri
2207,9003,Gateway,apn-data,13,active,Mersin
2208,9015,ATM,apn-data,11,active,Bursa
2209,9047,ATM,apn-m2m,13,inactive,Bursa
2210,9040,ATM,apn-iot,12,inactive,Adana
2211,9031,Tracker,apn-video,14,inactive,Kayseri
2212,9008,SmartMeter,apn-iot,11,active,Adana
2213,9031,SmartMeter,apn-iot,13,active,Sivas
2214,9073,POS,apn-m2m,13,active,Istanbul
2215,9011,SmartMeter,apn-iot,12,inactive,Antalya
2216,9011,Gateway,apn-m2m,11,active,Kayseri
2217,9094,Tracker,apn-video,15,active,Diyarbakir
2218,9063,Sensor,apn-m2m,12,active,Urfa
2219,9009,SmartMeter,apn-iot,13,active,Antalya
2220,9098,POS,apn-data,13,inactive,Adana
2221,9069,ATM,apn-data,11,inactive,Antalya
2222,9099,Gateway,apn-video,15,active,Manisa
2223,9017,Tracker,apn-m2m,13,blocked,Izmir
2224,9017,POS,apn-video,15,active,Konya
2225,9085,Tracker,apn-video,15,inactive,Izmir
2226,9061,Sensor,apn-data,13,active,Malatya
2227,9071,SmartMeter,apn-iot,11,blocked,Urfa
2228,9022,SmartMeter,apn-iot,13,active,Konya
2229,9034,Gateway,apn-iot,12,inactive,Istanbul
2230,9068,ATM,apn-iot,11,active,Van
2231,9078,POS,apn-video,15,active,Manisa
2232,9055,Tracker,apn-video,15,active,Izmir
2233,9028,ATM,apn-video,15,active,Sivas
2234,9070,ATM,apn-iot,12,inactive,Gaziantep
2235,9097,Tracker,apn-video,14,inactive,Istanbul
2236,9094,Sensor,apn-data,11,active,Bursa
2237,9089,Gateway,apn-iot,13,active,Diyarbakir
2238,9026,POS,apn-iot,13,active,Trabzon
2239,9092,Camera,apn-video,15,active,Trabzon
2240,9040,Sensor,apn-iot,13,active,Bursa
2241,9052,Camera,apn-video,14,inactive,Elazığ
2242,9086,Tracker,apn-video,14,active,Antalya
2243,9084,Camera,apn-video,15,active,Konya
2244,9048,Gateway,apn-data,13,active,Malatya
2245,9057,Tracker,apn-iot,12,active,Batman
2246,9067,POS,apn-m2m,13,active,Eskisehir
2247,9058,Camera,apn-video,15,active,Antalya
2248,9016,Sensor,apn-video,14,active,Mersin
2249,9032,Gateway,apn-video,15,active,Mersin
2250,9029,Gateway,apn-iot,12,blocked,Antalya
2251,9009,Sensor,apn-m2m,12,active,Istanbul
2252,9044,ATM,apn-data,13,active,Manisa
2253,9003,ATM,apn-iot,12,active,Sivas
2254,9076,POS,apn-iot,13,active,Sivas
2255,9071,POS,apn-video,15,inactive,Gaziantep
2256,9030,SmartMeter,apn-iot,13,active,Van
2257,9076,Tracker,apn-data,13,active,Kahramanmaras
2258,9029,POS,apn-video,14,active,Istanbul
2259,9001,POS,apn-data,12,inactive,Batman
2260,9010,Sensor,apn-iot,11,active,Van
2261,9091,Camera,apn-video,15,active,Konya
2262,9081,POS,apn-m2m,11,active,Elazığ
2263,9008,Tracker,apn-video,15,inactive,Van
2264,9030,Sensor,apn-m2m,13,active,Batman
2265,9009,POS,apn-data,12,inactive,Ankara
2266,9005,Gateway,apn-video,15,active,Adana
2267,9043,Tracker,apn-iot,11,active,Gaziantep
2268,9010,Tracker,apn-video,14,active,Malatya
2269,9066,SmartMeter,apn-iot,13,active,Batman
2270,9031,ATM,apn-iot,11,active,Izmir
2271,9036,ATM,apn-iot,12,active,Trabzon
2272,9086,Sensor,apn-iot,13,active,Konya
2273,9063,SmartMeter,apn-iot,12,inactive,Malatya
2274,9028,Tracker,apn-m2m,11,blocked,Kahramanmaras
2275,9070,Sensor,apn-data,12,active,Gaziantep
2276,9017,SmartMeter,apn-iot,13,active,Manisa
2277,9093,Tracker,apn-data,11,active,Batman
2278,9074,SmartMeter,apn-iot,11,blocked,Sivas
2279,9074,Tracker,apn-video,14,active,Eskisehir
2280,9061,Camera,apn-video,15,active,Mersin
2281,9032,SmartMeter,apn-iot,13,inactive,Sivas
2282,9061,SmartMeter,apn-iot,11,inactive,Diyarbakir
2283,9053,Gateway,apn-video,14,active,Van
2284,9025,SmartMeter,apn-iot,12,active,Mersin
2285,9013,SmartMeter,apn-iot,13,active,Mersin
2286,9013,Gateway,apn-video,15,active,Urfa
2287,9085,SmartMeter,apn-iot,13,active,Adana
2288,9056,SmartMeter,apn-iot,12,active,Bursa
2289,9046,POS,apn-iot,11,active,Adana
2290,9055,SmartMeter,apn-iot,11,active,Diyarbakir
2291,9053,Gateway,apn-iot,13,active,Adana
2292,9060,Tracker,apn-m2m,11,active,Manisa
2293,9094,ATM,apn-iot,12,active,Manisa
2294,9007,Camera,apn-video,15,inactive,Ankara
2295,9087,Camera,apn-video,14,blocked,Elazığ
2296,9084,Sensor,apn-video,14,active,Manisa
2297,9083,Tracker,apn-m2m,11,active,Gaziantep
2298,9013,Tracker,apn-data,13,blocked,Kahramanmaras
2299,9008,Gateway,apn-iot,12,active,Bursa
2300,9052,ATM,apn-data,13,active,Van
2301,9094,Gateway,apn-data,12,blocked,Mersin
2302,9044,SmartMeter,apn-iot,11,active,Mersin
2303,9014,POS,apn-iot,13,active,Konya
2304,9032,SmartMeter,apn-iot,13,active,Izmir
2305,9025,SmartMeter,apn-iot,13,inactive,Adana
2306,9025,SmartMeter,apn-iot,11,active,Eskisehir
2307,9069,Tracker,apn-iot,11,blocked,Diyarbakir
2308,9058,POS,apn-data,12,active,Erzurum
2309,9018,Tracker,apn-iot,11,active,Antalya
2310,9055,Gateway,apn-m2m,11,active,Batman
2311,9024,POS,apn-data,12,active,Mersin
2312,9036,Sensor,apn-m2m,12,active,Erzurum
2313,9060,ATM,apn-video,14,blocked,Kahramanmaras
2314,9032,SmartMeter,apn-iot,13,active,Manisa
2315,9010,ATM,apn-m2m,12,active,Batman
2316,9057,ATM,apn-data,13,inactive,Batman
2317,9071,Tracker,apn-iot,12,inactive,Izmir
2318,9013,Camera,apn-video,15,active,Izmir
2319,9007,Sensor,apn-video,14,active,Eskisehir
2320,9084,ATM,apn-iot,11,active,Kahramanmaras
2321,9070,POS,apn-iot,11,active,Diyarbakir
2322,9002,Camera,apn-video,14,active,Izmir
2323,9012,SmartMeter,apn-iot,13,blocked,Urfa
2324,9097,Sensor,apn-m2m,13,active,Gaziantep
2325,9031,Gateway,apn-video,14,active,Manisa
2326,9022,Camera,apn-video,15,active,Eskisehir
2327,9053,ATM,apn-video,14,active,Gaziantep
2328,9063,Camera,apn-video,15,active,Van
2329,9062,Tracker,apn-m2m,12,active,Batman
2330,9028,Camera,apn-video,14,active,Erzurum
2331,9052,POS,apn-data,11,blocked,Trabzon
2332,9008,POS,apn-m2m,13,active,Antalya
2333,9022,Sensor,apn-m2m,12,active,Gaziantep
2334,9049,ATM,apn-data,12,blocked,Urfa
2335,9001,SmartMeter,apn-iot,13,active,Konya
2336,9050,Camera,apn-video,15,inactive,Manisa
2337,9034,Tracker,apn-video,14,active,Ankara
2338,9059,POS,apn-iot,12,active,Izmir
2339,9037,Gateway,apn-video,14,inactive,Van
2340,9055,POS,apn-video,14,blocked,Diyarbakir
2341,9090,Tracker,apn-video,14,inactive,Izmir
2342,9094,Tracker,apn-m2m,11,active,Trabzon
2343,9072,POS,apn-video,14,active,Ankara
2344,9085,Tracker,apn-data,13,inactive,Mersin
2345,9092,Tracker,apn-m2m,12,blocked,Mersin
2346,9063,ATM,apn-iot,13,active,Ankara
2347,9020,Camera,apn-video,15,active,Antalya
2348,9025,SmartMeter,apn-iot,11,active,Erzurum
2349,9038,Sensor,apn-iot,11,inactive,Batman
2350,9028,Sensor,apn-iot,13,active,Izmir
2351,9008,SmartMeter,apn-iot,11,active,Urfa
2352,9075,POS,apn-data,11,inactive,Erzurum
2353,9095,POS,apn-iot,11,active,Manisa
2354,9070,SmartMeter,apn-iot,13,active,Adana
2355,9008,Camera,apn-video,14,active,Urfa
2356,9096,SmartMeter,apn-iot,13,active,Diyarbakir
2357,9041,SmartMeter,apn-iot,11,inactive,Gaziantep
2358,9008,ATM,apn-video,15,active,Urfa
2359,9007,Sensor,apn-video,15,active,Urfa
2360,9075,Gateway,apn-iot,11,active,Konya
2361,9062,ATM,apn-m2m,11,active,Izmir
2362,9065,Gateway,apn-data,12,active,Mersin
2363,9068,SmartMeter,apn-iot,13,active,Antalya
2364,9021,Sensor,apn-m2m,12,inactive,Bursa
2365,9008,Tracker,apn-m2m,12,active,Van
2366,9066,SmartMeter,apn-iot,12,active,Batman
2367,9011,SmartMeter,apn-iot,13,blocked,Eskisehir
2368,9024,Camera,apn-video,15,active,Eskisehir
2369,9009,ATM,apn-iot,12,active,Trabzon
2370,9077,ATM,apn-data,12,inactive,Ankara
2371,9009,Gateway,apn-m2m,11,active,Izmir
2372,9087,Sensor,apn-data,13,inactive,Kayseri
2373,9031,Camera,apn-video,14,inactive,Malatya
2374,9052,Camera,apn-video,14,active,Izmir
2375,9016,POS,apn-m2m,11,blocked,Manisa
2376,9073,ATM,apn-data,12,active,Elazığ
2377,9032,POS,apn-data,11,active,Adana
2378,9075,ATM,apn-data,11,active,Eskisehir
2379,9077,SmartMeter,apn-iot,13,inactive,Konya
2380,9006,Camera,apn-video,14,active,Manisa
2381,9080,ATM,apn-video,15,active,Gaziantep
2382,9011,Tracker,apn-m2m,11,inactive,Izmir
2383,9054,Camera,apn-video,14,inactive,Malatya
2384,9085,ATM,apn-m2m,11,active,Adana
2385,9075,POS,apn-video,15,active,Manisa
2386,9073,Sensor,apn-m2m,13,active,Urfa
2387,9067,POS,apn-video,15,active,Batman
2388,9041,Gateway,apn-video,15,blocked,Kayseri
2389,9034,Sensor,apn-m2m,12,inactive,Mersin
2390,9027,Tracker,apn-m2m,11,active,Van
2391,9086,Camera,apn-video,15,blocked,Trabzon
2392,9092,Gateway,apn-m2m,11,active,Diyarbakir
2393,9041,SmartMeter,apn-iot,12,active,Istanbul
2394,9031,POS,apn-video,14,inactive,Urfa
2395,9034,Camera,apn-video,14,active,Ankara
2396,9051,Gateway,apn-video,15,active,Batman
2397,9017,ATM,apn-data,11,active,Konya
2398,9086,Tracker,apn-data,12,active,Mersin
2399,9083,Gateway,apn-data,11,active,Batman
2400,9039,Camera,apn-video,15,inactive,Sivas
2401,9059,Gateway,apn-data,13,active,Kayseri
2402,9041,Camera,apn-video,15,active,Kahramanmaras
2403,9097,SmartMeter,apn-iot,13,active,Mersin
2404,9010,Camera,apn-video,14,active,Batman
2405,9002,Gateway,apn-m2m,11,active,Urfa
2406,9059,Tracker,apn-data,12,active,Bursa
2407,9080,Sensor,apn-data,11,active,Elazığ
2408,9073,Camera,apn-video,15,active,Elazığ
2409,9013,Gateway,apn-m2m,11,active,Izmir
2410,9010,Camera,apn-video,14,active,Kahramanmaras
2411,9069,ATM,apn-data,11,active,Manisa
2412,9028,ATM,apn-m2m,11,active,Bursa
2413,9065,Camera,apn-video,15,active,Batman
2414,9034,POS,apn-iot,12,active,Manisa
2415,9017,SmartMeter,apn-iot,12,active,Trabzon
2416,9045,SmartMeter,apn-iot,13,inactive,Diyarbakir
2417,9009,Tracker,apn-video,14,active,Eskisehir
2418,9032,Tracker,apn-m2m,11,active,Trabzon
2419,9048,POS,apn-m2m,12,active,Diyarbakir
2420,9037,Camera,apn-video,15,active,Antalya
2421,9021,Sensor,apn-iot,12,active,Kahramanmaras
2422,9057,Camera,apn-video,15,active,Gaziantep
2423,9070,POS,apn-data,12,active,Van
2424,9091,Tracker,apn-m2m,12,active,Izmir
2425,9039,Sensor,apn-iot,11,active,Trabzon
2426,9079,ATM,apn-data,12,active,Malatya
2427,9084,SmartMeter,apn-iot,12,active,Mersin
2428,9068,POS,apn-m2m,13,active,Eskisehir
2429,9002,POS,apn-video,15,active,Kayseri
2430,9086,Sensor,apn-m2m,11,active,Van
2431,9071,POS,apn-m2m,13,active,Trabzon
2432,9039,Gateway,apn-iot,12,active,Malatya
2433,9085,SmartMeter,apn-iot,11,active,Sivas
2434,9014,SmartMeter,apn-iot,13,active,Izmir
2435,9018,Gateway,apn-data,11,active,Istanbul
2436,9034,POS,apn-m2m,12,active,Sivas
2437,9015,Sensor,apn-data,13,active,Ankara
2438,9014,POS,apn-iot,13,active,Trabzon
2439,9096,Tracker,apn-m2m,12,active,Sivas
2440,9071,ATM,apn-iot,12,active,Diyarbakir
2441,9020,Camera,apn-video,15,active,Manisa
2442,9035,POS,apn-iot,12,active,Antalya
2443,9037,ATM,apn-video,14,active,Kayseri
2444,9078,SmartMeter,apn-iot,12,active,Van
2445,9027,SmartMeter,apn-iot,11,inactive,Eskisehir
2446,9092,Tracker,apn-video,15,blocked,Istanbul
2447,9044,POS,apn-m2m,12,active,Manisa
2448,9027,Sensor,apn-video,15,active,Ankara
2449,9088,SmartMeter,apn-iot,13,active,Mersin
2450,9082,POS,apn-m2m,11,active,Mersin
2451,9034,Sensor,apn-iot,13,active,Bursa
2452,9065,SmartMeter,apn-iot,12,active,Bursa
2453,9063,Gateway,apn-video,15,active,Urfa
2454,9033,POS,apn-iot,13,active,Istanbul
2455,9007,Gateway,apn-iot,11,active,Trabzon
2456,9012,POS,apn-data,13,active,Manisa
2457,9082,Tracker,apn-iot,11,active,Van
2458,9055,POS,apn-video,15,active,Kayseri
2459,9036,Tracker,apn-video,15,active,Ankara
2460,9006,Gateway,apn-iot,12,active,Konya
2461,9001,SmartMeter,apn-iot,11,active,Eskisehir
2462,9043,Sensor,apn-iot,13,active,Eskisehir
2463,9099,Camera,apn-video,15,active,Adana
2464,9017,Gateway,apn-data,13,active,Urfa
2465,9082,Sensor,apn-data,13,active,Manisa
2466,9034,Camera,apn-video,15,blocked,Kayseri
2467,9021,Tracker,apn-iot,11,active,Kahramanmaras
2468,9095,Tracker,apn-iot,11,active,Sivas
2469,9057,Gateway,apn-data,13,active,Konya
2470,9071,SmartMeter,apn-iot,12,active,Ankara
2471,9091,POS,apn-video,14,blocked,Kayseri
2472,9055,ATM,apn-video,14,active,Urfa
2473,9072,ATM,apn-m2m,11,active,Diyarbakir
2474,9002,Sensor,apn-m2m,12,active,Gaziantep
2475,9015,Gateway,apn-m2m,11,active,Diyarbakir
2476,9010,ATM,apn-data,12,blocked,Kahramanmaras
2477,9089,Sensor,apn-iot,12,inactive,Mersin
2478,9020,ATM,apn-video,14,active,Diyarbakir
2479,9070,POS,apn-iot,12,active,Elazığ
2480,9005,Camera,apn-video,15,active,Batman
2481,9048,Tracker,apn-iot,13,active,Batman
2482,9075,Sensor,apn-data,12,active,Istanbul
2483,9071,ATM,apn-video,15,active,Antalya
2484,9019,ATM,apn-data,13,active,Diyarbakir
2485,9056,POS,apn-iot,11,active,Ankara
2486,9017,Tracker,apn-video,14,active,Diyarbakir
2487,9006,Gateway,apn-iot,11,active,Kayseri
2488,9040,ATM,apn-video,14,active,Bursa
2489,9047,SmartMeter,apn-iot,13,active,Urfa
2490,9006,Gateway,apn-iot,11,active,Bursa
2491,9046,Tracker,apn-iot,13,active,Adana
2492,9027,POS,apn-iot,11,active,Ankara
2493,9088,Camera,apn-video,14,inactive,Manisa
2494,9032,Gateway,apn-data,12,active,Eskisehir
2495,9086,Sensor,apn-video,15,active,Ankara
2496,9014,ATM,apn-video,14,active,Izmir
2497,9046,SmartMeter,apn-iot,12,active,Eskisehir
2498,9100,SmartMeter,apn-iot,11,blocked,Trabzon
2499,9072,POS,apn-video,15,active,Erzurum
2500,9053,Camera,apn-video,15,active,Konya
2501,9080,Camera,apn-video,15,active,Urfa
2502,9096,ATM,apn-m2m,12,active,Antalya
2503,9020,Camera,apn-video,15,blocked,Istanbul
2504,9031,POS,apn-m2m,12,active,Kahramanmaras
2505,9021,SmartMeter,apn-iot,11,inactive,Manisa
2506,9023,Camera,apn-video,15,inactive,Malatya
2507,9053,Camera,apn-video,15,active,Urfa
2508,9004,SmartMeter,apn-iot,12,active,Mersin
2509,9023,POS,apn-m2m,12,active,Bursa
2510,9095,SmartMeter,apn-iot,13,active,Kahramanmaras
2511,9043,Tracker,apn-m2m,11,active,Sivas
2512,9053,SmartMeter,apn-iot,11,active,Diyarbakir
2513,9086,Gateway,apn-data,12,inactive,Diyarbakir
2514,9095,Gateway,apn-data,13,active,Sivas
2515,9032,Gateway,apn-iot,13,active,Ankara
2516,9035,Tracker,apn-video,15,active,Sivas
2517,9021,SmartMeter,apn-iot,11,active,Ankara
2518,9090,POS,apn-iot,13,active,Malatya
2519,9014,POS,apn-video,15,active,Sivas
2520,9049,Tracker,apn-video,14,blocked,Urfa
2521,9005,Sensor,apn-iot,12,active,Bursa
2522,9061,POS,apn-iot,11,active,Malatya
2523,9029,Camera,apn-video,15,active,Adana
2524,9026,Sensor,apn-video,15,active,Elazığ
2525,9059,ATM,apn-data,12,active,Diyarbakir
2526,9045,POS,apn-data,12,active,Trabzon
2527,9040,POS,apn-iot,13,active,Manisa
2528,9030,POS,apn-video,14,inactive,Gaziantep
2529,9029,Camera,apn-video,15,active,Gaziantep
